NH3,0,17.0289,74,3400,1.7e-05,-450,1e-14,-6716
NO,0,30.0061,0,1762,0,0,0,0
NO2,0,46.0055,0,2440,0,0,0,0
NO3,0,62.0049,0,0,0,0,0,0
NOA,0,119.074,0,0,0,0,0,0
NTERPOOH,0,231.24,0,0,0,0,0,0
O,0,15.9994,0,0,0,0,0,0
O3,0,47.9982,0.0103,2830,0,0,0,0
ONITR,0,147.126,7510,6485,0,0,0,0
PAN,0,121.048,2.8,5730,0,0,0,0
PBZNIT,0,183.118,0,5730,0,0,0,0
PHENO,0,159.115,0,0,0,0,0,0
PHENOL,0,94.1098,0,2700,0,0,0,0
PHENOOH,0,176.122,0,5995,0,0,0,0
C3H6OOH,0,92.0904,1.5e+06,0,0,0,0,0
ACETP,0,90.0756,336,5995,0,0,0,0
SO2,0,64.0648,1.2,3100,0.013,1965,0,0
SULF,0,98.078,1.e11,0,0,0,0,0
SOAG0,0,0,0,0,0,0,0,0
TEPOMUC,0,140.134,0,0,0,0,0,0
TERP2OOH,0,200.226,0,5995,0,0,0,0
TERPNIT,0,215.24,0,0,0,0,0,0
TERPOOH,0,186.241,311,5241,0,0,0,0
TERPROD1,0,168.227,0,5280,0,0,0,0
TERPROD2,0,154.201,0,5280,0,0,0,0
TOLOOH,0,174.148,311,5241,0,0,0,0
TOL,0,92.1362,0,4300,0,0,0,0
XOOH,0,150.126,90.5,5607,0,0,0,0
XYLENES,0,106.162,0,4300,0,0,0,0
XYLENOOH,0,188.174,0,5995,0,0,0,0
XYLOL,0,122.161,0,6800,0,0,0,0
XYLOLOOH,0,204.173,0,5995,0,0,0,0
ACBZO2,0,137.112,0,5280,0,0,0,0
ALKO2,0,103.135,0,5280,0,0,0,0
BENZO2,0,159.115,0,5280,0,0,0,0
BZOO,0,123.128,0,5280,0,0,0,0
ETO2,0,61.0578,0,5280,0,0,0,0
PRO2,0,75.0836,0,5280,0,0,0,0
C6H5O2,0,109.102,0,5280,0,0,0,0
ACO3,0,75.0424,0,0,0,0,0,0
CH3O2,0,47.032,0,5280,0,0,0,0
DICARBO2,0,129.09,0,5280,0,0,0,0
ENEO2,0,105.109,0,5280,0,0,0,0
EO,0,61.0578,0,5280,0,0,0,0
EO2,0,77.0572,0,5280,0,0,0,0
HO2,0,33.0062,0,5900,0,0,0,0
HOCH2OO,0,63.0314,0,8200,0,0,0,0
ISOPAO2,0,117.12,0,5280,0,0,0,0
ISOPBO2,0,117.12,0,5280,0,0,0,0
MVKO2,0,119.093,0,5280,0,0,0,0
MCO3,0,101.079,0,5280,0,0,0,0
MDIALO2,0,117.079,0,5280,0,0,0,0
MEKO2,0,103.094,0,5280,0,0,0,0
NTERPO2,0,230.232,0,5280,0,0,0,0
O1D,0,15.9994,0,0,0,0,0,0
HO,0,17.0068,0,4300,0,0,0,0
PHENO2,0,175.114,0,5280,0,0,0,0
PO2,0,91.083,0,5280,0,0,0,0
ACETO2,0,89.0682,0,5280,0,0,0,0
TERP2O2,0,199.219,0,5280,0,0,0,0
TERPO2,0,185.234,0,5280,0,0,0,0
TO2,0,173.141,0,5280,0,0,0,0
XO2,0,149.119,0,0,0,0,0,0
XYLENO2,0,187.166,0,5280,0,0,0,0
XYLOLO2,0,203.166,0,5280,0,0,0,0
HONO,0,47.013,0.48,4900,5.9e-4,-1760,0,0
ISO2,0,117.12,2.38,5280,0,0,0,0
ONIT,0,119.074,1000,0,0,0,0,0
PHEN,0,94.1098,2840,2700,0,0,0,0
XYL,0,106.162,0.2,4300,0,0,0,0
BALD,0,106.121,32.4,6300,0,0,0,0
cvasoaX,0,180.,0,0,0,0,0,0
cvasoa1,0,180.,1.06E+08,6014.,0,0,0,0
cvasoa2,0,180.,1.84E+07,6014.,0,0,0,0
cvasoa3,0,180.,3.18E+06,6014.,0,0,0,0
cvasoa4,0,180.,5.50E+05,6014.,0,0,0,0
cvbsoaX,0,150.,0,0,0,0,0,0
cvbsoa1,0,150.,5.25E+09,6014.,0,0,0,0
cvbsoa2,0,150.,7.00E+08,6014.,0,0,0,0
cvbsoa3,0,150.,9.33E+07,6014.,0,0,0,0
cvbsoa4,0,150.,1.24E+07,6014.,0,0,0,0
